function_name	segment	start	length	locals	args_count	R	F	L	M	O	S	B	T	=	X
Xms_alloc_and_Load_sfx_music	seg001	0000EFC2	00000436	00000056		R	F	.	.	.	.	B	.	.	.
__FF_MSGBANNER	seg002	00003723	00000007			R	F	L	.	.	.	.	.	.	.
__FMSG_TEXT	seg003	000000D2	00000039	00000002	00000002	R	F	L	.	.	.	B	.	.	.
__FPEXCEPTION87	seg004	000001D9	00000373	00000020		R	F	L	.	.	.	.	.	.	.
__aFldiv	seg003	000002A2	0000009A	00000002	00000008	R	F	L	.	.	.	B	.	.	.
__aFlmul	seg003	00000270	00000032	00000002	00000008	R	F	.	.	.	.	B	.	.	.
__aFlrem	seg003	0000033C	000000A0	00000002	00000008	R	F	L	.	.	.	B	.	.	.
__chkstk	seg003	000003F4	0000002E			R	F	L	.	.	.	.	.	.	.
__cinit	seg003	000004F0	000000D5			R	F	L	.	.	.	.	.	.	.
__ctermsub	seg003	0000064B	00000019			R	F	L	.	.	.	.	.	.	.
__fpmath	seg004	0000002A	0000001B			R	F	L	.	.	.	.	.	.	.
__fpreset	seg003	000003DC	00000018			R	F	L	.	.	.	.	.	.	.
__fpsignal	seg003	0000014B	00000035	00000000		R	F	L	.	.	.	B	.	.	.
_execve	seg003	0000041B	0000000A	00000002		R	F	L	.	.	.	B	.	.	.
_exit	seg003	000005C7	00000084	00000002	00000002	.	F	L	.	.	.	B	.	.	.
_init_int_scn	seg002	00001ADF	0000001E	00000004		R	F	.	.	.	.	.	.	.	.
_init_mem	seg002	00003759	0000006D	00000002		R	F	.	.	.	.	.	.	.	.
_main	seg002	00001A02	0000002F			R	F	L	.	.	.	.	.	.	.
ad_bop	seg029	00000C1E	00000037			R	.	.	.	.	.	.	.	.	.
ad_func_?	seg029	0000004E	00000374	00000002	00000008	R	F	.	.	.	.	B	.	.	.
ad_test	seg029	0000066B	0000005A	00000002		R	.	.	.	.	.	.	.	.	.
adbop_aXbX	seg029	00000BA4	00000013			R	.	.	.	.	.	.	.	.	.
add_brick_to_draw_list	seg017	000014BE	00000033	00000002	00000010	R	F	.	.	.	.	B	T	.	.
add_bricks_to_draw_array	seg023	000001C5	00000105	00000008	00000014	R	F	.	.	.	.	B	.	.	.
add_goods_to_list	seg001	00001034	000000DF	00000014	00000006	R	F	.	.	.	.	B	.	.	.
addto_drawing_array	seg017	00001473	0000004B	00000002	00000010	R	F	.	.	.	.	B	T	.	.
adlib_sub_2DBD0	seg029	000007A0	0000009B	00000006		R	.	.	.	.	.	.	.	.	.
adlibsub_2DCEB	seg029	000008BB	00000020			R	.	.	.	.	.	.	.	.	.
adlibsub_2DDE7	seg029	000009B7	0000011D	00000006		R	.	.	.	.	.	.	.	.	.
analysis	seg026	000005C6	0000023A			R	.	.	.	.	.	.	.	.	.
attack_make?	seg000	00002C2E	000000E7	00000016		R	F	.	.	.	.	B	.	.	.
backup_screen	seg001	0000CA9F	00000037	00000016		R	F	.	.	.	.	B	.	.	.
barrier_check	seg001	0000856F	0000007A	00000016	00000008	R	F	.	.	.	.	B	T	.	.
battle_move_role_and_draw	seg001	0000CAD9	000000E3	00000020		R	F	.	.	.	.	B	.	.	.
battle_produce_screen?	seg000	0000B12D	000003F4	00000040		R	F	.	.	.	.	B	.	.	.
begin_scene	seg001	0000E984	0000063B	0000006C		R	F	.	.	.	.	B	.	.	.
block_tweak	seg008	00000002	0000002D	00000002	00000010	R	F	.	.	.	.	B	T	.	.
bout_selection	seg001	000019AD	00000246	00000024	00000004	R	F	.	.	.	.	B	.	.	.
calc_base_damage	seg001	00009E7E	00000075	0000001A	00000006	R	F	.	.	.	.	B	T	.	.
calc_display_EXP	seg001	00000B27	000003B7	0000004A	00000004	R	F	.	.	.	.	B	.	.	.
calc_display_theurgy	seg000	00009942	00000A25	00000050	0000000A	R	F	.	.	.	.	B	.	.	.
calc_facing_to	seg020	0000003A	0000004E	00000002	0000000C	R	F	.	.	.	.	B	T	.	.
calc_redraw_flags	seg023	00000124	000000A1	00000002	00000018	R	F	.	.	.	.	B	T	.	.
calc_team_walking	seg000	00000E54	00000157	00000000		R	.	.	.	.	.	.	.	.	.
calc_trace_frames	seg001	0000C73D	0000005A	00000000		R	F	.	.	.	.	B	.	.	.
call_B$RTCLR	seg002	00001AFF	00000009			R	.	.	.	.	.	.	.	.	.
call_magic	seg002	00003885	0000000F	00000002		R	F	.	.	.	.	.	.	.	.
call_preset	seg002	00001AFA	00000005			R	.	.	.	.	.	.	.	.	.
call_recursive	seg003	00000664	00000013	00000000		R	.	L	.	.	.	.	.	.	.
chk_evt_can_trigger?	seg023	000002D8	00000054	00000002	00000010	R	F	.	.	.	.	B	.	.	.
chk_map_Barrier	seg023	0000000C	0000005D	00000002	00000010	R	F	.	.	.	.	B	T	.	.
clear_DDIM	seg019	0000000E	00000024	00000002	00000008	R	F	.	.	.	.	B	T	.	.
clear_spirite_array	seg017	00001457	00000007			R	F	.	.	.	.	.	.	.	.
clear_timer	seg029	00001423	00000007			R	F	.	.	.	.	.	.	.	.
color_fading_by_1	seg021	000000B2	0000002E	00000002	00000008	R	F	.	.	.	.	B	.	.	.
convert_xy_to_rch	seg023	00000069	000000BB	00000010	0000000C	R	F	.	.	.	.	B	T	.	.
count_item_equiping	seg001	00009AC7	00000081	0000001E	00000004	R	F	.	.	.	.	B	.	.	.
count_item_gained	seg001	00009B4B	00000063	0000001C	00000004	R	F	.	.	.	.	B	.	.	.
crossFadeOut	seg001	00008B62	0000017C	00000026	00000008	R	F	.	.	.	.	B	T	.	.
crossFade_F?	seg009	000001F1	000000BB	00000002	0000000C	R	F	.	.	.	.	B	.	.	.
crossFade_FullScreen	seg009	000000F9	000000F8	00000002	00000008	R	F	.	.	.	.	B	.	.	.
crossFade_assimilate	seg009	00000000	0000006E	00000002	00000010	R	F	.	.	.	.	B	T	.	.
crossFade_desalt	seg009	0000006E	0000008B	00000002	00000010	R	F	.	.	.	.	B	T	.	.
delay_centisecond	seg029	0000142A	00000021	00000002	00000004	R	F	.	.	.	.	B	T	.	.
deyj1_fbp_subfile_to_screen_buf	seg000	0000BB4D	00000053	00000016	00000004	R	F	.	.	.	.	B	.	.	.
deyj1_makesub_f_to_glb_5	seg001	0000AA47	0000008E	00000016	00000006	R	F	.	.	.	.	B	.	.	.
dialog_string	seg000	0000DE14	0000014C	0000002C	0000000C	R	F	.	.	.	.	B	.	.	.
draw_?	seg000	0000A36A	0000018F	0000002C	00000006	R	F	.	.	.	.	B	T	.	.
draw_battle_scene	seg000	0000B524	00000320	0000003E	00000006	R	F	.	.	.	.	B	T	.	.
draw_battle_scene@selecting	seg000	0000ED37	000000A0	0000001A		R	F	.	.	.	.	B	.	.	.
draw_dialog_frame	seg000	0000D2BC	000000F2	0000001E	0000000A	R	F	.	.	.	.	B	T	.	.
draw_one_brick	seg024	0000042E	00000033	00000002	00000010	R	F	.	.	.	.	B	T	.	.
draw_oneline_m_text	seg001	0000D387	000001FD	00000022	00000008	R	F	.	.	.	.	B	T	.	.
draw_onescreen_map	seg010	0000000C	000000EF	0000000E	00000018	R	F	.	.	.	.	B	.	.	.
